Country,Year,Frequency
Australia,Q1_2020,6
Azerbaijan,Q1_2020,119
Barbados,Q1_2020,8
Belgium,Q1_2020,4
Canada,Q1_2020,3536
Chile,Q1_2020,3
"China, Hong Kong SAR",Q1_2020,4
"China, Macao SAR",Q1_2020,19
Czechia,Q1_2020,1213
Denmark,Q1_2020,6
Ecuador,Q1_2020,1218
Egypt,Q1_2020,2
El Salvador,Q1_2020,12
Estonia,Q1_2020,3794
Finland,Q1_2020,139
Georgia,Q1_2020,98
Greece,Q1_2020,60
Iceland,Q1_2020,6
Ireland,Q1_2020,3
Israel,Q1_2020,2
Italy,Q1_2020,12
Japan,Q1_2020,4
Latvia,Q1_2020,458
Lithuania,Q1_2020,6
Madagascar,Q1_2020,23
Mexico,Q1_2020,2269
New Zealand,Q1_2020,15
North Macedonia,Q1_2020,42
Pakistan,Q1_2020,6
Paraguay,Q1_2020,266
Philippines,Q1_2020,4
Poland,Q1_2020,4
Portugal,Q1_2020,2253
Romania,Q1_2020,20
Senegal,Q1_2020,9
Serbia,Q1_2020,4024
Spain,Q1_2020,11841
Sweden,Q1_2020,35
Switzerland,Q1_2020,211
Turkey,Q1_2020,5864
Ukraine,Q1_2020,270
USA,Q1_2020,8
Uzbekistan,Q1_2020,12
Zambia,Q1_2020,31
Angola,Q1_2019,26
Antigua and Barbuda,Q1_2019,32
Argentina,Q1_2019,426
Armenia,Q1_2019,4216
Aruba,Q1_2019,6
Australia,Q1_2019,12
Azerbaijan,Q1_2019,3268
Barbados,Q1_2019,16
Belarus,Q1_2019,355
Belgium,Q1_2019,4
Belize,Q1_2019,136
Bolivia (Plurinational State of),Q1_2019,65
Bosnia Herzegovina,Q1_2019,4093
Botswana,Q1_2019,47
Brazil,Q1_2019,10
Bulgaria,Q1_2019,7965
Cabo Verde,Q1_2019,4
Canada,Q1_2019,6211
Chile,Q1_2019,4
"China, Hong Kong SAR",Q1_2019,3
"China, Macao SAR",Q1_2019,37
Comoros,Q1_2019,12
Congo,Q1_2019,16
Croatia,Q1_2019,4
Cyprus,Q1_2019,4288
Czechia,Q1_2019,2429
Denmark,Q1_2019,4
Ecuador,Q1_2019,2448
Egypt,Q1_2019,40
El Salvador,Q1_2019,4
Estonia,Q1_2019,3926
Eswatini,Q1_2019,16
Georgia,Q1_2019,126
Germany,Q1_2019,316
Ghana,Q1_2019,4
Greece,Q1_2019,39
Guatemala,Q1_2019,4
Guyana,Q1_2019,86
Hungary,Q1_2019,127
Iceland,Q1_2019,4
India,Q1_2019,3
Ireland,Q1_2019,4
Israel,Q1_2019,4
Italy,Q1_2019,9
Japan,Q1_2019,4
Kazakhstan,Q1_2019,4
Kyrgyzstan,Q1_2019,34
Latvia,Q1_2019,1675
Lithuania,Q1_2019,4
Luxembourg,Q1_2019,9332
Madagascar,Q1_2019,2733
Malaysia,Q1_2019,6
Malta,Q1_2019,4291
Mauritius,Q1_2019,26
Mexico,Q1_2019,3428
Mongolia,Q1_2019,59
Montenegro,Q1_2019,563
New Zealand,Q1_2019,8
North Macedonia,Q1_2019,21
Pakistan,Q1_2019,12
Palau,Q1_2019,3
Paraguay,Q1_2019,357
Peru,Q1_2019,12
Philippines,Q1_2019,8
Poland,Q1_2019,5
Portugal,Q1_2019,3088
Qatar,Q1_2019,8
Rep. of Korea,Q1_2019,4
Rep. of Moldova,Q1_2019,5026
Romania,Q1_2019,40
Russian Federation,Q1_2019,4
Sao Tome and Principe,Q1_2019,83
Senegal,Q1_2019,21
Serbia,Q1_2019,4222
Seychelles,Q1_2019,72
Singapore,Q1_2019,3
Slovakia,Q1_2019,3939
Slovenia,Q1_2019,3269
South Africa,Q1_2019,101
Spain,Q1_2019,4391
Sweden,Q1_2019,1697
Switzerland,Q1_2019,107
Thailand,Q1_2019,50
Turkey,Q1_2019,3855
Uganda,Q1_2019,9
Ukraine,Q1_2019,543
United Kingdom,Q1_2019,5412
Uruguay,Q1_2019,20
USA,Q1_2019,4
Uzbekistan,Q1_2019,11
Zambia,Q1_2019,16
Zimbabwe,Q1_2019,571
